string,subtlex_us.fpmw,subtlex_us.cd
clock,58.63,19.54
held,42.45,19.54
responsible,45.06,19.53
writing,55.92,19.5
turning,40.41,19.43
huge,48.37,19.42
summer,78.67,19.42
letting,39.12,19.41
fired,61.94,19.38
teeth,47.84,19.38
choose,48.06,19.37
radio,77.18,19.36
note,53.55,19.34
tree,65,19.34
judge,79.67,19.33
plus,47.04,19.3
immediately,47.96,19.27
north,63.88,19.27
grand,63.02,19.24
weekend,61.14,19.24
shop,53.55,19.23
became,47.75,19.19
paying,43.27,19.19
breaking,42.25,19.17
heaven,56.61,19.17
gas,67.78,19.16
shows,41.51,19.13
breath,44.92,19.11
pal,57.59,19.1
art,70.8,19.09
hearing,44.73,19.07
evil,73.16,19.05
greatest,48.31,19.05
bucks,56.2,19.03
pack,43.82,18.98
bank,84.98,18.96
level,51.63,18.96
general,115.39,18.94
leg,56.51,18.93
mark,82.02,18.92
earlier,39.41,18.88
dude,99.43,18.85
horse,92.88,18.8
belong,44.37,18.79
hall,51.94,18.75
according,41.86,18.73
west,60.55,18.73
chicken,61.73,18.72
guard,58.2,18.71
hiding,43.27,18.68
cup,51.65,18.67
pretend,40.31,18.66
sweetie,53.55,18.66
although,42.02,18.62
natural,42.35,18.62
bottle,50.75,18.61
perfectly,43.25,18.6
heads,42.69,18.59
match,49.43,18.56
simply,46.31,18.56
fucking,325.55,18.55
cares,39.67,18.54
truck,72.86,18.54
however,45.08,18.53
chair,49.24,18.51
shooting,56.29,18.5
threw,40.82,18.5
orders,61.37,18.49
president,140.67,18.49
search,48.37,18.47
pop,67.47,18.45
written,44.06,18.45
bus,74.18,18.43
innocent,54.51,18.43
finding,37.94,18.4
build,48.08,18.38
medical,54.39,18.37
taught,43.84,18.36
guilty,62.29,18.34
dry,42.82,18.32
form,42.75,18.3
opportunity,41,18.29
gold,78.94,18.28
rule,48.14,18.28
skin,44.04,18.26
duty,50.96,18.25
