string, subtlex_uk.zipf, subtlex_uk.DomPoS
0, , 
0, , 
abstruse,1.47,adjective
absurd,3.75,adjective
absurdist,1.77,adjective
absurdities,1.9,noun
absurdity,2.67,noun
absurdly,2.53,adverb
absurdties,1.17,noun
absurdum,1.17,noun
abt,1.74,noun
abta,2.2,name
abts,1.54,name
abu,3.74,name
abubaker,2.28,name
abuela,1.3,unclassified
abuelita,1.39,name
abuge,1.17,noun
abuhamza,1.9,name
abuja,2.19,name
abul,1.84,name
abundance,3.57,noun
abundances,1.47,noun
abundancy,1.17,noun
abundant,3.25,adjective
abundantly,2.58,adverb
aburrow,1.17,noun
abuse,4.44,noun
abused,3.89,verb
abuser,2.73,noun
abusers,2.84,noun
abuses,3.33,noun
abusing,3.48,verb
abusive,3.38,adjective
abusively,1.47,adverb
abut,1.95,noun
abutment,1.47,noun
abutments,1.39,noun
abuts,1.39,verb
abutting,1.39,verb
abutts,1.17,verb
abuy,1.17,verb
abuzz,2.08,adjective
abv,1.65,name
abwehr,1.7,name
aby,2.09,noun
abydos,1.65,name
abyei,1.77,name
abysmal,2.8,adjective
abysmally,2.29,adverb
abyss,3.05,noun
abyssal,1.3,adjective
abysses,1.3,noun
abyssinia,2.26,name
abyssinian,2.17,adjective
abyssinians,1.17,name
abyu,1.65,name
abzorbaloff,1.7,name
ac,3.27,name
aca,1.9,noun
acacia,2.85,noun
acacias,1.74,noun
acad,1.74,name
acadabra,1.54,noun
academe,1.17,noun
academia,2.72,noun
academic,4,adjective
academical,1.7,name
academically,2.89,adverb
academicals,2.19,name
academician,1.93,name
academicians,1.97,name
academics,3.33,noun
academie,1.65,name
academies,3.6,noun
academy,4.22,name
academys,2.33,noun
acaena,1.17,noun
acai,1.65,unclassified
acame,1.17,noun
acan,1.39,noun
acanthus,2.59,noun
acapella,2.13,noun
acapulco,2.61,name
acar,1.39,name
acas,2.53,name
acaster,1.3,name
acation,1.17,noun
acause,1.3,noun
acb,1.77,name
acc,1.84,name
acca,1.17,noun
accademia,1.7,name
accanto,1.3,noun
accede,1.93,verb
acceded,1.9,verb
acceding,1.3,verb
accel,1.17,noun
accelerando,1.3,noun
accelerant,2.04,noun
accelerants,1.39,noun
accelerate,3.38,verb
accelerated,3.25,verb
accelerater,1.39,noun
accelerates,2.66,verb
accelerating,3.11,verb
acceleration,3.39,noun
accelerations,1.7,noun
accelerator,3.19,noun
accelerators,2.21,noun
accelerometer,1.7,noun
accelerometers,1.81,noun
accell,1.3,name
accen,1.39,verb
accent,4.16,noun
accented,1.74,adjective
accents,3.4,noun
accentuate,2.73,verb
accentuated,2.35,verb
accentuates,1.97,verb
accentuating,1.97,verb
accenture,1.3,name
accept,4.83,verb
acceptability,2.17,noun
acceptable,4.14,adjective
acceptably,1.54,adverb
