string,cp.IMAG,cp.FAM
ice-box,6.17,3.79
ice-cream,0,6.1
iceberg,0,4.46
icicle,0,5.6
idea,2.2,6.5
idealistic,3.31,5.34
identified,2.22,5.23
idiom,3,4.6
if,1.38,6.85
ignorance,3.57,5.98
illumined,3.66,3.61
illusion,3.53,5.06
imaginative,3.53,5.38
immature,4.25,5.98
immense,4.22,5.12
immunity,3.43,4.87
impact,4.47,5.04
impartial,2.31,4.88
impetuous,2.84,3.96
important,3,6.64
impossible,2.41,5.61
impotency,3.4,3.88
impropriety,1.87,2.42
improve,2.56,6.18
impudent,2.91,4.14
impulse,3.7,5.14
impulsive,3.44,5.29
in,2.5,6.94
inaccurate,2.34,5.37
inanity,1.83,1.77
incident,2.9,5.3
inclemency,3.03,2.12
incorrect,3.19,6.04
increment,2.63,3.02
indecisive,2.81,4.78
independent,3.25,5.63
indicated,1.78,5.65
indication,0,5.4
induce,2.47,4.88
inducement,2.93,3.63
industrious,3.81,4.98
industry,5.77,6
inebriety,3.53,2.04
infant,6.33,5.53
infantile,4.03,4.47
infection,4.87,5.11
infirmary,5.63,4.77
influenced,2.16,5.82
ingratitude,2.93,4.06
inhabitant,4.33,5.11
initiative,2.44,5.2
injury,5.7,6.08
ink,6.37,6.14
inn,6.07,4.9
inquisitive,3.16,4.53
insect,6.1,5.72
insecure,3.41,5.41
inside,3.38,6.51
insincere,2.94,5.19
insolence,3.93,4.68
insolent,3.09,4.15
inspired,3.09,5.23
instance,2,5.4
instinct,3.03,5.77
institute,4.6,5.33
instruction,0,5.92
instructor,5.7,5.71
instrument,5.67,5.94
integer,0,4.9
intellect,2.93,5.47
interest,3.13,6.24
interesting,3.22,6.08
interim,1.97,3.49
interview,5.03,5.74
intimate,5,5.39
into,1.84,6.64
introduced,2.91,5.84
introductory,2.22,5.14
invading,3.88,4.53
investigation,3.6,5.62
invoice,5.17,4.74
involved,3.28,6.26
ion,3.09,4.2
iron,6.07,6.11
irony,2.83,5
irresistible,4.28,5.94
irritable,3.47,5.41
is,1.47,7
islander,5.43,4.23
issue,3,5.59
it,1.63,6.94
item,3.67,6.08
jail,6.43,5.46
jealous,4.34,5.59
jealousy,4.72,5.4
jelly,6.4,5.48
jeopardy,3.03,3.92
jib,0,2.85
jockey,0,4.33
join,2.81,5.71
joint,0,5.67
joke,4.27,6.51
journal,5.6,4.96
joviality,5.2,2.9
joy,5.43,6.06
joyful,4.69,5.78
judge,6.27,5.6
judicious,2.78,4.24
jug,0,5.38
juggler,6.1,4.04
jump,4.66,5.88
jungle,5.75,4.79
jury,6.07,5.38
justice,3.6,6.06
keen,2.72,4.81
keep,2.03,6.52
keg,6.4,3.4
kerchief,5.23,4.79
kerosene,5.77,4.02
kettle,6.23,5.52
key,0,6.52
killed,5,6.47
kind,3.56,6.37
kindness,4.2,6.06
kine,2,1.22
king,6.27,5.58
kinsman,4.22,3.49
kiss,6.8,6.34
kite,0,4.8
kittens,6.22,5.16
knife,0,6.38
knocker,0,3.92
know,1.84,6.84
knowledge,2.97,6.29
knuckle,5.31,5.24
ku-klux-klan,0,4
labor,4.41,5.8
labyrinth,4.83,3.08
lacked,1.75,5.18
lad,6.33,5.13
ladder,0,5.47
ladies,5.97,6.49
lake,6.67,6.37
lamp,6.22,6.36
landscape,6.43,5.43
lantern,6.06,4.31
lapel,0,4.02
large,4.38,6.74
lark,6.2,4.33
last,2.72,6.49
late,3.53,6.72
lateral,0,4.22
latest,2.31,6.18
launder,4.16,3.88
law,3.73,6.17
lawful,2.56,5.4
lawn,6.57,5.51
lay,4.09,6.06
lazy,4.28,6.27
leader,5.13,5.98
leaf,0,5.98
leaflet,5.47,4.73
lecture,5.57,6.49
lecturer,5.7,6.14
left,3.78,6.65
leg,0,6.25
leggings,5.87,2.98
legislation,3.33,5.06
legume,4.69,2.98
lemon,6.83,5.35
lemonade,6.5,5.65
lend,2.81,6.06
length,3.73,6.1
leopard,6.77,4.71
letter,6.37,6.57
letterhead,5.13,3.98
lewd,2.78,3.3
library,6.73,6.43
lice,5.57,3.69
life,4.07,6.57
lift,4.28,5.86
lifted,3.4,5.66
light,5.72,6.22
lighter,0,5.69
lighthouse,0,4.5
