string,blp.rt,blp.rt.zscore,blp.accuracy,blp.accuracy.zscore
killjoy,739.84,0.61340102,0.657894737,-0.351007115
killjoys,748.0833333,0.713728246,0.625,-0.467766945
kills,535.25,-0.57960747,1,0.863295115
kiln,675.9130435,0.44904777,0.575,-0.645241886
kilns,644.2,0.448972927,0.5,-0.911454298
kilo,636.516129,-0.169339173,0.842105263,0.302847931
kilos,669.8857143,0.278833987,0.875,0.419607762
kilt,694.2903226,0.332985576,0.842105263,0.302847931
kilts,672.1515152,0.220995908,0.825,0.24213282
kin,589.6451613,-0.261493255,0.815789474,0.209440069
kind,543.7567568,-0.768651159,1,0.863295115
kinda,600.2916667,0.011722587,0.65,-0.379029474
kinder,629.5714286,-0.191163103,0.973684211,0.769887253
kindest,577.025641,-0.379919179,0.975,0.774557644
kindle,655.25,0.127505028,0.9,0.508345232
kindled,631.8378378,0.072139953,0.95,0.685820174
kindles,670.7777778,0.209712073,0.763157895,0.022624341
kindlier,751.1,1.1273526,0.6,-0.556504416
kindling,725.8064516,0.510099772,0.868421053,0.396255797
kindly,558.8,-0.521379214,1,0.863295115
kindness,562,-0.499204024,1,0.863295115
kindred,619.7096774,0.129429283,0.815789474,0.209440069
kinds,540.7941176,-0.557678669,0.947368421,0.676479387
kinfolk,721.5,1.145253464,0.210526316,-1.9389408
king,520.6842105,-0.676322007,0.95,0.685820174
kingcup,801.5,0.991261061,0.125,-2.242516358
kingcups,614,0.156892926,0.052631579,-2.499387983
kingdom,560.2972973,-0.524882462,0.973684211,0.769887253
kingdoms,610.675,-0.169979304,1,0.863295115
kingly,700.48,0.779120348,0.65,-0.379029474
kingpin,781.4210526,0.654224436,0.526315789,-0.818046436
kingpins,734.5,0.710724595,0.605263158,-0.537822842
kings,532.3157895,-0.521374019,0.95,0.685820174
kingship,803.7058824,1.08982758,0.552631579,-0.72463857
kink,749.03125,0.593636815,0.825,0.24213282
kinked,662.8928571,0.169325196,0.725,-0.112817062
kinking,721.6666667,0.72708517,0.55,-0.733979357
kinks,760.7857143,0.657068374,0.736842105,-0.070783524
kinky,619.8108108,-0.15239771,0.925,0.597082703
kinsfolk,748.2,0.981671033,0.3,-1.621354063
kinship,690.3548387,0.338849432,0.775,0.064657879
kinsman,722.36,0.606143507,0.657894737,-0.351007115
kinsmen,704.4166667,0.557869175,0.684210526,-0.257599252
kiosk,639.7857143,0.187018968,0.7,-0.201554533
kiosks,675.6571429,0.210889693,0.9,0.508345232
kip,632.483871,0.069110786,0.775,0.064657879
kipped,740.5416667,0.677441263,0.6,-0.556504416
kipper,683,0.275586969,0.85,0.330870291
kippers,705.0689655,0.304244408,0.763157895,0.022624341
kipping,682.9230769,0.58414411,0.675,-0.290292004
kips,672.7647059,0.385203759,0.5,-0.911454298
kirk,739.6428571,1.062528606,0.368421053,-1.378493616
